X,Y,Z,V,MAx,MAy,MAz,MAv,Activity
-2.439,-4.35,2.817,5.727714,-1.052,-7.846,3.593,8.939,3
-0.067597,-9.777073,-1.277767,9.860447,-0.419,-9.812,-1.295,9.908,2
0.17358,1.055843,9.3733,9.434176,-0.062,0.781,10.748,10.781,3
2.677868,2.6336,8.933005,9.69048,2.684,2.547,8.173,8.974,3
2.02395,6.37695,9.217051,11.389288,0.278,6.822,10.176,12.344,4
-0.413,2.257732,8.779537,9.074591,-0.359,2.142,9.382,9.632,3
1.392623,2.704189,9.125926,9.619489,1.548,2.753,9.279,9.803,2
0.804587,0.954138,9.70798,9.787881,0.805,0.952,9.69,9.77,0
-0.335121,1.943703,6.384058,6.681802,-0.306,1.723,6.671,6.902,3
-0.684,0.52695,9.924001,9.961492,-0.8,0.502,9.794,9.84,1
1.470389,2.427519,9.684052,10.091371,1.496,2.462,9.603,10.026,2
0.354271,1.752205,9.488716,9.655644,0.393,1.781,9.594,9.766,0
-3.513985,-8.897467,-2.080145,9.789791,-3.466,-8.945,-2.109,9.823,2
-1.943703,2.441597,6.728754,7.417244,-1.982,2.566,6.978,7.694,3
1.764527,5.197812,8.08881,9.775462,1.724,5.178,8.099,9.766,0
-2.096901,2.786293,9.258919,9.893836,-2.097,2.767,9.259,9.888,0
1.243788,5.197812,8.237251,9.819194,1.161,5.159,8.21,9.766,0
0.08295,0.201,9.723001,9.725431,0.061,0.237,9.837,9.84,1
-0.51,-9.312,1.26105,9.410829,-0.949,-8.949,1.263,9.098,3
-5.103839,1.39163,6.591237,8.45164,-5.69,1.78,5.044,7.984,4
-2.824593,-9.050665,-2.731237,9.866738,-2.978,-8.993,-2.712,9.855,2
-2.518196,-9.357061,-1.237555,9.768697,-2.556,-9.271,-1.429,9.724,2
0.946907,3.074155,8.701726,9.277235,1.041,3.14,8.353,8.985,2
2.443072,6.3009,7.837092,10.348428,2.419,6.333,7.76,10.304,1
-0.694318,3.636792,9.16261,9.882396,-0.703,3.666,9.037,9.778,1
1.108774,3.366402,9.332008,9.982406,1.139,3.385,9.312,9.973,1
2.767143,2.326698,5.732965,6.777721,2.566,2.221,6.116,7,3
1.415355,2.408376,9.545269,9.945635,1.459,2.387,9.588,9.988,2
0.315853,-0.147159,9.898509,9.904641,0.317,-0.132,9.9,9.906,0
1.42455,4.489128,8.392874,9.62403,1.423,4.483,8.537,9.747,0
-5.244,-9.424951,-2.68695,11.115257,-4.231,-12.517,4.018,14.565,3
-1.790504,3.245888,9.18232,9.902358,-1.819,3.284,9.077,9.823,0
0.852165,1.982002,9.680214,9.917715,0.91,1.953,9.584,9.824,0
-3.552284,-8.820868,-2.195044,9.759336,-3.552,-8.773,-2.205,9.718,2
-0.756,-10.96605,4.30095,11.803557,-2.902,-11.097,-1.223,12.262,3
4.555934,-12.903894,2.057229,13.838324,-0.931,-12.329,0.942,13.104,3
0.44895,0.09795,9.864,9.874698,0.446,0.101,9.873,9.884,0
-0.385466,0.88346,10.548853,10.592799,0.253,1.513,9.709,9.848,3
0.67905,-9.504001,-0.97095,9.577571,0.614,-9.589,-0.927,9.653,2
0.795015,0.954138,9.739087,9.817955,0.817,0.951,9.677,9.758,0
0.21195,0.07905,9.89505,9.897635,0.227,0.028,9.913,9.915,1
0.423,0.10095,9.864,9.873582,0.436,0.106,9.869,9.879,0
-0.39705,0.80205,9.84,9.880614,-0.118,0.944,9.711,9.76,1
0.73998,0.973281,9.698409,9.775172,0.791,0.968,9.677,9.757,0
-0.55005,0.702,10.06005,10.099503,-0.471,0.728,9.863,9.901,1
1.936392,0.536291,9.541679,9.750942,1.962,0.61,9.543,9.762,0
2.000998,-5.592027,-0.377468,5.951239,1.041,-6.245,-0.028,6.406,3
0.201073,2.058601,9.641914,9.861277,0.23,2.039,9.604,9.821,0
-1.800599,9.439087,-2.388635,9.901722,-1.791,9.434,-2.458,9.913,1
-1.99395,-7.80705,1.53195,8.201996,-1.831,-8.364,3.097,9.157,3
-0.636858,0.889446,8.026561,8.100764,-0.121,0.827,8.378,8.431,3
1.521515,4.423288,8.602366,9.791894,1.531,4.426,8.707,9.887,0
2.252345,1.786673,7.456741,7.991762,2.58,2.271,6.666,7.521,4
-2.058601,-9.625158,0.639124,9.863569,-2.059,-9.644,0.61,9.88,2
0.325424,-0.132802,9.898509,9.904747,0.315,-0.117,9.915,9.921,0
-2.096901,4.279976,8.607826,9.8392,-2.135,4.299,8.598,9.847,1
-5.449654,-2.852843,7.456634,9.666376,-5.567,-2.823,7.577,9.817,2
0.037687,1.729413,9.506086,9.662192,-0.155,1.183,10.084,10.174,1
-1.677138,6.027403,7.569269,9.820194,-1.64,6.063,7.394,9.702,1
-0.047884,0.876278,11.767501,11.800179,0.576,2.056,10.859,11.127,3
0.629675,2.761712,9.427169,9.843529,0.656,2.768,9.406,9.826,2
-0.483948,-9.532407,-1.249053,9.626065,-0.229,-9.64,-1.231,9.723,2
1.22363,3.598805,9.195318,9.950002,0.999,3.525,9.322,10.018,1
3.802494,2.433501,11.590833,12.438983,3.994,2.897,11.653,12.66,3
-0.526619,3.399086,3.320093,4.7806,-0.642,3.428,3.157,4.706,4
-3.475685,-8.859167,-2.578039,9.85959,-3.428,-8.84,-2.559,9.821,2
1.663311,3.116053,9.419347,10.059845,1.494,3.065,9.628,10.215,2
2.394019,9.190233,-1.765903,9.659717,0.872,8.012,-3.667,9.123,4
0.39257,5.160866,8.186531,9.68545,0.354,5.19,8.167,9.683,1
1.942374,0.578166,9.607482,9.8189,1.883,0.519,9.662,9.858,0
-5.665008,-3.340979,7.461419,9.946217,-5.586,-3.213,7.527,9.91,2
0.775566,6.769447,8.109932,10.592352,0.603,6.76,8.11,10.576,3
0.277672,1.790504,9.603615,9.773046,0.182,1.771,9.613,9.777,0
-0.833015,5.199165,8.148232,9.70149,-0.709,5.18,8.263,9.779,1
6.40005,2.39895,10.24905,12.319036,7,2.63,12.421,14.505,3
0.660667,1.982002,9.450417,9.678594,0.651,1.982,9.556,9.781,0
0.325424,-0.118445,9.903295,9.909347,0.331,-0.117,9.91,9.917,0
-1.272518,3.801992,9.448717,10.264146,-1.027,4.033,9.041,9.96,0
-0.659603,4.34787,8.742428,9.786169,-0.587,4.386,8.719,9.777,0
0.648,3.39195,7.671,8.41246,0.022,-6.36,4.465,9.897,3
0.320638,-0.104088,9.888938,9.894682,0.319,-0.099,9.894,9.899,0
-1.133654,4.608838,8.880095,10.068895,-0.832,4.274,8.797,9.82,0
4.634576,4.662109,7.206547,9.754429,4.294,5.568,9.275,11.666,4
-2.2118,1.484108,9.18232,9.560838,-2.317,1.532,9.948,10.33,3
-1.583764,2.838326,12.261904,12.685373,-1.908,2.928,10.971,11.528,3
-1.324592,0.463877,5.597643,5.770904,-2.112,1.526,8.034,8.499,4
1.846661,1.476372,8.068299,8.407573,2.16,1.788,7.691,8.193,3
2.039452,0.794716,9.220619,9.476854,2.939,0.795,9.967,10.434,3
-2.594795,10.716696,4.200983,11.799525,-3.84,11.789,6.452,14.034,4
-0.25305,-0.23295,9.99495,10.000867,-0.205,-0.21,9.852,9.856,1
0.382852,2.624926,15.978373,16.197074,0.511,3.46,15.407,15.835,4
7.819146,31.116266,50.95396,60.213514,-5.003,21.659,23.377,36.44,4
1.51346,2.676671,9.396614,9.886935,1.467,2.645,9.488,9.958,2
-2.141613,5.573701,7.771579,9.800515,-2.213,5.552,7.775,9.807,1
0.555455,3.095703,9.414001,9.925489,0.552,3.114,9.428,9.945,2
0.03,4.371,10.347,11.232406,0.426,4.386,9.657,10.629,3
-2.258226,15.187245,4.259822,15.93418,0.709,8.643,0.271,9.121,4
-1.599007,-9.701757,-0.241766,9.835618,-1.551,-9.73,-0.299,9.858,2
6.061618,-8.263613,-6.06102,11.906572,7.322,-6.924,-2.199,10.754,4
-1.654393,3.256114,8.913613,9.63285,-1.459,3.248,9.067,9.743,0
0.45705,0.03105,9.859051,9.869688,0.464,0.026,9.861,9.872,0
1.410185,4.242526,8.605958,9.697946,1.243,4.136,8.844,9.844,0
1.27346,2.135201,6.996851,7.42541,0.986,2.164,7.218,7.602,3
4.780859,-9.262018,1.15693,10.487139,-1.005,-10.802,1.987,11.674,3
1.235161,3.399086,9.258919,9.94017,1.235,3.169,9.46,10.056,3
-2.739565,-1.376067,18.529924,18.781823,-0.235,1.465,11.452,12.043,4
8.456235,-16.222141,18.689739,26.152862,24.217,-1.731,10.631,32.068,4
-5.57408,-3.058625,7.326823,9.700922,-5.524,-3.032,7.452,9.759,2
0.45195,0.024,9.864,9.874378,0.453,0.022,9.872,9.882,0
-2.1735,2.786293,9.297218,9.946145,-2.068,2.872,9.45,10.092,0
1.847954,10.716696,22.895956,25.347333,1.522,11.847,23.585,26.452,4
19.847267,1.671985,18.259031,27.020395,9.744,6.317,-9.8,23.577,4
-2.2118,2.824593,9.220619,9.893948,-2.145,2.805,9.288,9.937,0
0.277672,5.352364,8.224831,9.816962,0.249,5.352,8.254,9.84,1
-0.75405,1.47,9.30405,9.449595,1.049,2.245,10.142,10.565,3
-2.260126,5.343858,7.843405,9.756228,-2.266,5.346,7.848,9.763,1
-2.269703,5.386954,7.704541,9.671131,-2.277,5.376,7.845,9.779,1
0.825,-9.595051,-0.67905,9.654363,0.836,-9.607,-0.657,9.666,2
-0.41172,1.484108,7.650337,7.803829,-0.297,1.58,6.959,7.145,3
-5.674579,-3.135196,7.470991,9.891713,-5.666,-3.122,7.46,9.875,2
-64.576897,-22.322643,47.420361,83.169508,-64.033,-18.544,61.832,91.43,4
1.809654,4.662971,15.540047,16.325171,1.829,4.73,15.645,16.447,3
-0.888,-0.34395,10.03905,10.084115,-0.865,-0.252,9.758,9.8,1
0.263211,-0.104088,9.884152,9.888205,0.244,-0.105,9.89,9.894,0
0.306281,-0.04666,9.90808,9.912923,0.284,-0.08,9.897,9.902,0
-13.173087,-7.090532,-5.955736,16.10207,-9.389,-8.011,-2.258,13.172,4
0.66195,-9.613951,-0.63405,9.657548,0.659,-9.658,-0.504,9.695,2
-5.856433,-2.599204,7.87777,10.154454,-5.756,-2.145,7.552,9.739,2
-2.38026,-12.252448,-0.367896,12.486932,-2.565,-10.491,-0.307,10.837,3
-0.285,-0.25305,10.041,10.048231,-0.252,-0.17,9.856,9.86,1
1.464407,0.144467,9.600304,9.712425,1.551,0.281,9.488,9.619,0
-2.288399,-9.51026,0.447626,9.791945,-2.317,-9.625,0.381,9.908,2
-0.230309,-9.801002,-1.244268,9.882352,-0.01,-9.801,-1.05,9.859,2
0.48,-15.13905,-2.87205,15.416547,-0.971,-12.708,-0.409,12.923,3
-3.513985,-8.667669,-2.654638,9.722329,-3.524,-8.668,-2.655,9.726,2
-2.033874,5.80953,7.603985,9.78304,-1.966,5.868,7.433,9.673,1
-0.71805,-0.21405,10.045951,10.073854,-0.628,-0.202,9.87,9.892,1
2.074278,4.547559,14.308481,15.15637,-1.215,4.593,14.846,15.774,4
-1.877169,8.864211,-3.308077,9.645796,-1.506,9.226,-3.137,9.866,1
2.470589,-4.686941,-0.937986,5.380618,1.103,-6.284,-1.188,6.581,3
-1.024513,4.969368,8.761024,10.124218,-1.168,4.969,8.914,10.273,1
-0.081954,-9.844072,-1.0002,9.895093,-0.054,-9.886,-0.921,9.93,2
-5.660222,-3.034697,7.393822,9.793677,-5.737,-3.041,7.422,9.861,2
0.76375,3.465607,9.252393,9.909617,0.843,3.469,9.082,9.759,2
-0.814158,5.28754,6.9009,8.731744,-0.889,5.481,8.048,9.785,1
1.064507,3.558127,9.315259,10.028334,0.885,3.542,9.327,10.017,1
-1.29033,2.839383,14.477474,14.809602,0.296,1.954,15.527,15.697,4
0.852165,1.560707,9.98661,10.143687,0.766,1.503,9.948,10.091,3
0.301496,-0.022732,9.884152,9.888776,0.29,-0.059,9.889,9.893,0
-0.909615,-9.816656,1.366816,9.953006,-1.025,-9.673,1.194,9.802,2
-11.454442,19.436899,33.644283,40.508457,-14.512,8.002,18.13,27.906,4
-4.993706,2.901174,8.699332,10.441853,-5.272,2.056,10.558,12.057,4
-1.00305,0.32595,9.900001,9.956021,-0.916,0.384,9.695,9.745,1
0.837372,4.744709,2.713828,5.529767,0.408,2.646,5.271,6.579,4
3.182155,1.047757,7.033403,7.79055,3.196,0.892,6.564,7.357,4
1.151845,3.495914,9.29133,9.993847,1.169,3.52,9.264,9.979,1
1.367498,2.68385,9.473185,9.94054,1.395,2.717,9.466,9.947,2
-0.275333,3.193865,9.132683,9.678971,-0.334,3.141,9.198,9.726,2
0.315853,-0.104088,9.898509,9.904094,0.324,-0.106,9.897,9.903,0
-2.121861,1.920748,9.289502,9.720413,-2.046,0.314,14.255,14.485,4
-1.812411,5.930438,7.530962,9.755527,-1.819,5.929,7.529,9.755,1
1.403391,2.578266,9.511769,9.954432,1.418,2.6,9.515,9.965,2
-0.062812,-9.820144,-1.445265,9.926125,-0.23,-9.781,-1.438,9.89,2
-0.694517,9.233304,-3.394219,9.861895,-0.687,9.217,-3.52,9.89,1
0.41595,0.30195,9.849001,9.862404,0.446,0.099,9.86,9.874,0
-0.11133,3.087323,9.494206,9.984183,0.332,2.967,10.279,10.711,2
3.399902,2.344667,11.932408,12.626922,4.429,1.961,13.277,14.146,4
0.702698,3.305195,9.270349,9.866988,0.722,3.286,9.163,9.762,2
-0.622732,-9.729217,-1.588834,9.877745,-0.66,-9.783,-1.314,9.896,2
-0.627518,0.661615,9.951151,9.992843,-0.574,0.683,9.894,9.934,1
-1.104924,2.450465,9.56723,9.937682,-1.044,2.528,9.023,9.432,3
-2.763112,17.574684,0.604188,17.800825,0.673,19.822,14.729,26.21,4
-3.207588,-9.242163,0.217829,9.785379,-3.236,-9.204,0.237,9.759,2
1.396212,2.278864,9.891331,10.246026,1.537,2.308,9.989,10.367,2
0.047874,4.969368,8.378029,9.741061,0.019,4.902,8.455,9.773,1
2.848954,1.525424,7.489834,8.157271,2.791,1.382,7.194,7.84,3
-2.135201,1.599007,0.256128,2.679833,-1.81,3.093,0.333,3.684,4
-3.475685,-8.667669,-2.692938,9.719094,-3.504,-8.677,-2.693,9.738,2
-0.669179,3.174711,9.063251,9.626479,-0.666,3.183,9.069,9.635,2
14.278571,2.898306,9.740582,17.525887,14.065,17.618,13.035,28.013,4
1.156631,2.035694,10.436296,10.695705,1.145,2.044,9.944,10.22,2
0.277567,-8.273184,2.150549,8.55263,0.341,-9.613,3.238,10.173,2
2.409572,2.901896,10.399207,11.062122,2.166,2.779,9.999,10.602,3
0.124474,4.586372,8.569527,9.720447,0.105,4.606,8.579,9.738,1
-0.26805,0.90495,9.868951,9.913979,-0.175,0.957,9.83,9.879,1
-5.755935,-3.269194,7.379465,9.913371,-5.86,-3.195,7.393,9.96,2
0.379481,4.955997,8.513782,9.858519,0.19,4.835,8.58,9.852,0
0.334995,-0.137587,9.888938,9.895567,0.321,-0.122,9.9,9.906,0
1.566401,-0.024227,9.070891,9.205176,1.357,-0.038,9.712,9.808,0
-0.909615,2.403297,9.565315,9.904468,-0.766,2.451,9.345,9.693,3
-0.115454,1.820938,9.673584,9.844154,0.045,1.851,9.693,9.869,1
1.692,2.12595,15.646951,15.881108,-2.031,1.713,23.383,23.827,4
-3.130989,2.403297,13.356972,13.927944,-2.489,2.403,12.543,13.018,3
-2.260126,5.54138,7.721301,9.76901,-2.212,5.548,7.743,9.779,1
-2.288857,5.382165,7.935582,9.857993,-2.261,5.394,7.807,9.755,1
1.865803,0.49681,9.652946,9.844156,1.884,0.469,9.661,9.854,0
-3.207588,-9.433661,0.485926,9.975906,-3.208,-9.482,0.4,10.018,2
-5.755935,-3.068197,7.293324,9.784538,-5.75,-3.068,7.354,9.827,2
0.311067,-0.118445,9.898509,9.904104,0.31,-0.103,9.898,9.904,0
2.764009,-0.727418,11.140683,11.501465,2.026,-1.163,10.607,10.881,4
-2.21595,8.598001,8.81505,12.511641,0.109,6.342,4.927,8.673,4
5.185246,-3.652644,-3.743571,7.364979,10.267,-2.336,3.682,12.244,4
-0.44592,-0.539294,11.768699,11.789485,-0.769,1.289,8.438,8.769,4
-2.15119,5.585672,7.644686,9.709201,-2.143,5.549,7.696,9.727,1
1.708774,3.570091,10.41835,11.144841,2.061,3.507,10.325,11.103,3
-5.621937,-2.804986,7.767701,9.99056,-5.557,-2.781,7.759,9.941,2
-0.353145,3.201048,5.99149,6.802159,-0.652,2.488,7.322,7.818,3
1.400998,4.759324,5.644071,7.514619,0.166,4.891,3.966,6.491,4
-3.437386,-8.820868,-2.46314,9.782146,-3.437,-8.792,-2.396,9.74,2
1.158562,0.756416,9.14402,9.24811,1.005,0.756,8.608,8.7,3
5.242674,-15.211772,-5.558527,17.022951,0.005,-14.514,-12.786,20.034,4
4.404,1.41195,3.87705,6.034926,3.835,0.629,5.308,6.796,4
-5.811958,15.733938,19.063606,25.39206,-5.86,13.541,15.875,21.687,4
-1.177711,-9.47196,0.409327,9.553668,-1.503,-9.443,0.4,9.573,2
-0.746991,4.31914,8.805874,9.836482,-0.579,4.393,8.762,9.82,0
-0.215952,-10.145568,-0.698106,10.17185,-0.326,-9.907,-0.523,9.929,2
0.91346,3.550949,9.104391,9.814968,0.981,3.558,9.341,10.045,1
-1.393819,-8.675776,-12.468401,15.253618,0.46,-10.653,-12.641,16.688,4
0.44505,0.10995,9.871051,9.88169,0.445,0.105,9.872,9.882,0
-1.661815,9.309875,-2.594418,9.806447,-1.771,9.282,-2.457,9.765,1
1.362713,2.59023,9.437292,9.880727,1.339,2.585,9.477,9.914,2
3.255136,0.188734,8.089834,8.72221,2.921,-1.11,7.433,8.117,4
-0.713659,1.088136,9.999007,10.083328,-0.657,1.118,9.86,9.946,1
0.622368,-1.043663,2.937098,3.17854,0.306,-1.264,3.081,3.354,4
-2.403297,1.867104,11.710091,12.099097,-1.331,1.963,10.954,11.23,3
